назва,широта,довгота,тип,область,населення
Катеринівка,48.558956,39.1902159,містечко,,16723
Овруч,51.3259771,28.8026718,містечко,,16681
Верхньодніпровськ,48.6541915,34.3347779,містечко,,16680
Пирятин,50.2363032,32.5010494,містечко,,16600
Березань,50.3132713,31.4689158,містечко,,16559
Путивль,51.3359821,33.8715451,містечко,,16361
Білозерське,48.53313,37.05791,містечко,,16251
Дунаївці,48.886649,26.8476798,містечко,,16147
Іловайськ,47.9248328,38.1976205,містечко,,16143
Красногорівка,48.01068,37.50449,містечко,,16003
Вільнянськ,47.9433,35.43159,містечко,,15901
Миколаївка,48.8610868,37.7619191,містечко,,15847
Вознесенівка,48.07617,39.7736,містечко,,15843
Слобожанське,49.5989864,36.5242153,містечко,,15825
Городок,49.784596,23.6465626,містечко,,15825
Новий Буг,47.6933814,32.5106596,містечко,,15686
Тульчин,48.6730485,28.8569476,містечко,,15631
Бар,49.077621,27.6813781,містечко,,15563
Оріхів,47.5754426,35.7855471,містечко,,15544
Острог,50.329021,26.5203627,містечко,,15528
Вугледар,47.7809924,37.2460771,містечко,,15486
Болград,45.6779137,28.6132404,містечко,,15479
Бурштин,49.2621603,24.6159932,містечко,,15348
Українка,50.1537167,30.7420742,містечко,,15338
Судак,44.8488369,34.971099,містечко,,15300
Арциз,45.9962017,29.431517,містечко,,15229
Гайворон,48.3370533,29.868633,містечко,,15214
Рахів,48.0556765,24.2057063,містечко,,15137
Коцюбинське,50.4904717,30.3337903,містечко,,15038
Радомишль,50.4961812,29.2289588,містечко,,15003
Золоте,48.6901104,38.5121584,містечко,,14974
Ківерці,50.8333448,25.4648622,містечко,Волинська область,14916
Приморський,45.1191428,35.4815631,містечко,,14860
Очаків,46.6145957,31.5452994,містечко,,14834
Миколаїв,49.5253714,23.9788155,містечко,,14824
Корюківка,51.7744549,32.2512927,містечко,,14805
Гола Пристань,46.5320381,32.5345028,містечко,,14755
Хорол,49.7822104,33.2740646,містечко,,14643
Бунге,48.2213624,38.2875306,містечко,,14570
Гуляйполе,47.6655382,36.2656849,містечко,,14556
Апостолове,47.6617478,33.7180001,містечко,,14513
Сторожинець,48.1629489,25.7207993,містечко,,14508
Городище,49.2903792,31.4446702,містечко,,14480
Чигирин,49.0775098,32.6664089,містечко,,14440
Тальне,48.8889723,30.6980137,містечко,,14420
Деражня,49.2688322,27.4327085,містечко,,14381
Жашків,49.2478012,30.1066179,містечко,,14368
Часів Яр,48.5873911,37.8373367,містечко,,14360
Гостомель,50.58826,30.25909,містечко,,14268
Носівка,50.9377744,31.5812258,містечко,,14185
Василівка,47.4431859,35.2803026,містечко,,14134
Зеленодольськ,47.5668051,33.6474574,містечко,,14134
Високий,49.8911681,36.1286649,містечко,,14107
Новгород-Сіверський,52.004259,33.2779899,містечко,,14025
Нижня Кринка,48.1137043,38.1665891,містечко,,13956
Збараж,49.6607393,25.7768485,містечко,,13915
Жовква,50.056134,23.9711967,містечко,,13852
Теребовля,49.2960742,25.692491,містечко,,13769
Кагарлик,49.8650658,30.8226786,містечко,,13682
Кам’янка-Дніпровська,47.4900938,34.4109101,містечко,,13653
Нова Водолага,49.7181212,35.8601594,містечко,,13538
Петрово-Красносілля,48.29418,38.86619,містечко,,13500
Берислав,46.8357749,33.416743,містечко,,13457
Ширяєве,47.3843482,30.1895219,містечко,,13455
Снігурівка,47.070721,32.7924643,містечко,,13454
Рожище,50.916332,25.2712543,містечко,,13441
Березне,51.0035653,26.7524487,містечко,,13390
Тетіїв,49.3686166,29.6771098,містечко,,13235
Бершадь,48.36594,29.51889,містечко,,13223
Солоницівка,49.9986529,36.0426856,містечко,,13153
Щастя,48.737653,39.2350478,містечко,,13105
Станиця Луганська,48.6429638,39.4956573,містечко,,13089
Лиманка,46.3731032,30.690874,містечко,,13085
Великодолинське,46.3467158,30.5759542,містечко,,13036
Жданівка,48.1570316,38.2565049,містечко,,12985
Бородянка,50.6437677,29.9278296,містечко,,12980
Кам’янка,49.0401185,32.1008691,містечко,,12956
Яворів,49.9456001,23.3886319,містечко,,12948
Глобине,49.392047,33.2507308,містечко,,12801
Антонівка,46.6766197,32.7310644,містечко,,12790
Городня,51.8915393,31.595545,містечко,,12766
